"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"
        Verify various negative login scenarios and ensure the correct error message is displayed.
        ","395","Negative Test: Empty Account","tests","Wed Apr 01 20:01:22 UTC 2026","passed","Wed Apr 01 20:01:22 UTC 2026","TestLogin","test_auth","",""
"
        Verify that a user cannot navigate back to a protected page using the browser's
        back button after logging out.
        ","3821","Browser back button does not restore active session","tests","Wed Apr 01 20:01:37 UTC 2026","passed","Wed Apr 01 20:01:41 UTC 2026","TestLogout","test_auth","",""
"
        Verify that once a user is logged in, opening a new tab and navigating
        to the app retains the logged-in state without requiring re-authentication.
        ","738","Session persists across multiple tabs","tests","Wed Apr 01 20:01:31 UTC 2026","passed","Wed Apr 01 20:01:31 UTC 2026","TestLogin","test_auth","",""
"
        Verify that logging out in one tab invalidates the session in all other open tabs.
        ","1265","Multi-tab session sync upon logout","tests","Wed Apr 01 20:01:43 UTC 2026","passed","Wed Apr 01 20:01:44 UTC 2026","TestLogout","test_auth","",""
"
        Verify that login fails if the casing of the username or password is incorrect.
        ","424","Case Sensitivity Test: Swapped Password Case","tests","Wed Apr 01 20:01:26 UTC 2026","passed","Wed Apr 01 20:01:26 UTC 2026","TestLogin","test_auth","",""
"
        Verify that login fails if the casing of the username or password is incorrect.
        ","430","Case Sensitivity Test: Swapped Username Case","tests","Wed Apr 01 20:01:24 UTC 2026","passed","Wed Apr 01 20:01:25 UTC 2026","TestLogin","test_auth","",""
"
        Verify that an unauthenticated user cannot directly access the inventory page via URL.
        ","3383","Prevent direct access to inventory without authentication","tests","Wed Apr 01 20:01:27 UTC 2026","passed","Wed Apr 01 20:01:30 UTC 2026","TestLogin","test_auth","",""
"
        Verify various negative login scenarios and ensure the correct error message is displayed.
        ","442","Negative Test: Non-existent Account","tests","Wed Apr 01 20:01:23 UTC 2026","passed","Wed Apr 01 20:01:23 UTC 2026","TestLogin","test_auth","",""
"
        Verify that a standard user can log in with valid credentials
        and is redirected to the Inventory Page.
        ","474","Standard user logs in successfully","tests","Wed Apr 01 20:01:18 UTC 2026","passed","Wed Apr 01 20:01:18 UTC 2026","TestLogin","test_auth","",""
"
        Verify that the authentication cookie is completely removed from the browser.
        ","654","Session cookie is cleared upon logout","tests","Wed Apr 01 20:01:35 UTC 2026","passed","Wed Apr 01 20:01:35 UTC 2026","TestLogout","test_auth","",""
"
        Verify various negative login scenarios and ensure the correct error message is displayed.
        ","396","Negative Test: Wrong Password","tests","Wed Apr 01 20:01:21 UTC 2026","passed","Wed Apr 01 20:01:21 UTC 2026","TestLogin","test_auth","",""
"
        Verify that a logged-in user can successfully log out via the sidebar menu.
        ","643","User logs out successfully from the main page","tests","Wed Apr 01 20:01:33 UTC 2026","passed","Wed Apr 01 20:01:33 UTC 2026","TestLogout","test_auth","",""
"
        Verify various negative login scenarios and ensure the correct error message is displayed.
        ","403","Negative Test: Locked Out User","tests","Wed Apr 01 20:01:19 UTC 2026","passed","Wed Apr 01 20:01:20 UTC 2026","TestLogin","test_auth","",""
