"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"
        Verify that login fails if the casing of the username or password is incorrect.
        ","438","Case Sensitivity Test: Swapped Password Case","tests","Wed Apr 01 20:15:26 UTC 2026","passed","Wed Apr 01 20:15:26 UTC 2026","TestLogin","test_auth","",""
"
        Verify that a standard user can log in with valid credentials
        and is redirected to the Inventory Page.
        ","455","Standard user logs in successfully","tests","Wed Apr 01 20:15:18 UTC 2026","passed","Wed Apr 01 20:15:18 UTC 2026","TestLogin","test_auth","",""
"
        Verify that the authentication cookie is completely removed from the browser.
        ","676","Session cookie is cleared upon logout","tests","Wed Apr 01 20:15:46 UTC 2026","passed","Wed Apr 01 20:15:46 UTC 2026","TestLogout","test_auth","",""
"
        Verify that logging out in one tab invalidates the session in all other open tabs.
        ","1106","Multi-tab session sync upon logout","tests","Wed Apr 01 20:16:00 UTC 2026","passed","Wed Apr 01 20:16:01 UTC 2026","TestLogout","test_auth","",""
"
        Verify various negative login scenarios and ensure the correct error message is displayed.
        ","387","Negative Test: Empty Account","tests","Wed Apr 01 20:15:22 UTC 2026","passed","Wed Apr 01 20:15:22 UTC 2026","TestLogin","test_auth","",""
"
        Verify various negative login scenarios and ensure the correct error message is displayed.
        ","411","Negative Test: Locked Out User","tests","Wed Apr 01 20:15:19 UTC 2026","passed","Wed Apr 01 20:15:20 UTC 2026","TestLogin","test_auth","",""
"
        Verify that a user cannot navigate back to a protected page using the browser's
        back button after logging out.
        ","10313","Browser back button does not restore active session","tests","Wed Apr 01 20:15:48 UTC 2026","broken","Wed Apr 01 20:15:58 UTC 2026","TestLogout","test_auth","",""
"
        Verify various negative login scenarios and ensure the correct error message is displayed.
        ","445","Negative Test: Non-existent Account","tests","Wed Apr 01 20:15:23 UTC 2026","passed","Wed Apr 01 20:15:23 UTC 2026","TestLogin","test_auth","",""
"
        Verify various negative login scenarios and ensure the correct error message is displayed.
        ","410","Negative Test: Wrong Password","tests","Wed Apr 01 20:15:21 UTC 2026","passed","Wed Apr 01 20:15:21 UTC 2026","TestLogin","test_auth","",""
"
        Verify that an unauthenticated user cannot directly access the inventory page via URL.
        ","3409","Prevent direct access to inventory without authentication","tests","Wed Apr 01 20:15:27 UTC 2026","passed","Wed Apr 01 20:15:30 UTC 2026","TestLogin","test_auth","",""
"
        Verify that login fails if the casing of the username or password is incorrect.
        ","422","Case Sensitivity Test: Swapped Username Case","tests","Wed Apr 01 20:15:24 UTC 2026","passed","Wed Apr 01 20:15:25 UTC 2026","TestLogin","test_auth","",""
"
        Verify that once a user is logged in, opening a new tab and navigating
        to the app retains the logged-in state without requiring re-authentication.
        ","748","Session persists across multiple tabs","tests","Wed Apr 01 20:15:31 UTC 2026","passed","Wed Apr 01 20:15:32 UTC 2026","TestLogin","test_auth","",""
"
        Verify that a logged-in user can successfully log out via the sidebar menu.
        ","10297","User logs out successfully from the main page","tests","Wed Apr 01 20:15:34 UTC 2026","broken","Wed Apr 01 20:15:44 UTC 2026","TestLogout","test_auth","",""
