"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"
        Verify that logging out in one tab invalidates the session in all other open tabs.
        ","1079","Multi-tab session sync upon logout","tests","Tue Mar 31 00:40:37 UTC 2026","passed","Tue Mar 31 00:40:38 UTC 2026","TestLogout","test_auth","",""
"
        Verify that login fails if the casing of the username or password is incorrect.
        ","421","Case Sensitivity Test: Swapped Password Case","tests","Tue Mar 31 00:40:21 UTC 2026","passed","Tue Mar 31 00:40:21 UTC 2026","TestLogin","test_auth","",""
"
        Verify various negative login scenarios and ensure the correct error message is displayed.
        ","380","Negative Test: Empty Account","tests","Tue Mar 31 00:40:17 UTC 2026","passed","Tue Mar 31 00:40:18 UTC 2026","TestLogin","test_auth","",""
"
        Verify various negative login scenarios and ensure the correct error message is displayed.
        ","399","Negative Test: Wrong Password","tests","Tue Mar 31 00:40:16 UTC 2026","passed","Tue Mar 31 00:40:17 UTC 2026","TestLogin","test_auth","",""
"
        Verify that a user cannot navigate back to a protected page using the browser's
        back button after logging out.
        ","3743","Browser back button does not restore active session","tests","Tue Mar 31 00:40:32 UTC 2026","passed","Tue Mar 31 00:40:36 UTC 2026","TestLogout","test_auth","",""
"
        Verify various negative login scenarios and ensure the correct error message is displayed.
        ","414","Negative Test: Locked Out User","tests","Tue Mar 31 00:40:15 UTC 2026","passed","Tue Mar 31 00:40:15 UTC 2026","TestLogin","test_auth","",""
"
        Verify that a standard user can log in with valid credentials
        and is redirected to the Inventory Page.
        ","450","Standard user logs in successfully","tests","Tue Mar 31 00:40:14 UTC 2026","passed","Tue Mar 31 00:40:14 UTC 2026","TestLogin","test_auth","",""
"
        Verify that the authentication cookie is completely removed from the browser.
        ","650","Session cookie is cleared upon logout","tests","Tue Mar 31 00:40:30 UTC 2026","passed","Tue Mar 31 00:40:31 UTC 2026","TestLogout","test_auth","",""
"
        Verify that login fails if the casing of the username or password is incorrect.
        ","417","Case Sensitivity Test: Swapped Username Case","tests","Tue Mar 31 00:40:20 UTC 2026","passed","Tue Mar 31 00:40:20 UTC 2026","TestLogin","test_auth","",""
"
        Verify that an unauthenticated user cannot directly access the inventory page via URL.
        ","3415","Prevent direct access to inventory without authentication","tests","Tue Mar 31 00:40:22 UTC 2026","passed","Tue Mar 31 00:40:25 UTC 2026","TestLogin","test_auth","",""
"
        Verify that a logged-in user can successfully log out via the sidebar menu.
        ","646","User logs out successfully from the main page","tests","Tue Mar 31 00:40:28 UTC 2026","passed","Tue Mar 31 00:40:29 UTC 2026","TestLogout","test_auth","",""
"
        Verify that once a user is logged in, opening a new tab and navigating
        to the app retains the logged-in state without requiring re-authentication.
        ","745","Session persists across multiple tabs","tests","Tue Mar 31 00:40:26 UTC 2026","passed","Tue Mar 31 00:40:27 UTC 2026","TestLogin","test_auth","",""
"
        Verify various negative login scenarios and ensure the correct error message is displayed.
        ","416","Negative Test: Non-existent Account","tests","Tue Mar 31 00:40:19 UTC 2026","passed","Tue Mar 31 00:40:19 UTC 2026","TestLogin","test_auth","",""
