"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"
        Verify that login fails if the casing of the username or password is incorrect.
        ","394","Case Sensitivity Test: Swapped Password Case","tests","Wed Apr 01 20:16:19 UTC 2026","passed","Wed Apr 01 20:16:19 UTC 2026","TestLogin","test_auth","",""
"
        Verify that a standard user can log in with valid credentials
        and is redirected to the Inventory Page.
        ","416","Standard user logs in successfully","tests","Wed Apr 01 20:16:12 UTC 2026","passed","Wed Apr 01 20:16:12 UTC 2026","TestLogin","test_auth","",""
"
        Verify various negative login scenarios and ensure the correct error message is displayed.
        ","359","Negative Test: Empty Account","tests","Wed Apr 01 20:16:15 UTC 2026","passed","Wed Apr 01 20:16:16 UTC 2026","TestLogin","test_auth","",""
"
        Verify that a logged-in user can successfully log out via the sidebar menu.
        ","652","User logs out successfully from the main page","tests","Wed Apr 01 20:16:26 UTC 2026","passed","Wed Apr 01 20:16:27 UTC 2026","TestLogout","test_auth","",""
"
        Verify that logging out in one tab invalidates the session in all other open tabs.
        ","1321","Multi-tab session sync upon logout","tests","Wed Apr 01 20:16:45 UTC 2026","passed","Wed Apr 01 20:16:46 UTC 2026","TestLogout","test_auth","",""
"
        Verify various negative login scenarios and ensure the correct error message is displayed.
        ","389","Negative Test: Locked Out User","tests","Wed Apr 01 20:16:13 UTC 2026","passed","Wed Apr 01 20:16:13 UTC 2026","TestLogin","test_auth","",""
"
        Verify that the authentication cookie is completely removed from the browser.
        ","10285","Session cookie is cleared upon logout","tests","Wed Apr 01 20:16:28 UTC 2026","broken","Wed Apr 01 20:16:38 UTC 2026","TestLogout","test_auth","",""
"
        Verify that once a user is logged in, opening a new tab and navigating
        to the app retains the logged-in state without requiring re-authentication.
        ","699","Session persists across multiple tabs","tests","Wed Apr 01 20:16:24 UTC 2026","passed","Wed Apr 01 20:16:25 UTC 2026","TestLogin","test_auth","",""
"
        Verify that login fails if the casing of the username or password is incorrect.
        ","397","Case Sensitivity Test: Swapped Username Case","tests","Wed Apr 01 20:16:18 UTC 2026","passed","Wed Apr 01 20:16:18 UTC 2026","TestLogin","test_auth","",""
"
        Verify that an unauthenticated user cannot directly access the inventory page via URL.
        ","3412","Prevent direct access to inventory without authentication","tests","Wed Apr 01 20:16:20 UTC 2026","passed","Wed Apr 01 20:16:23 UTC 2026","TestLogin","test_auth","",""
"
        Verify various negative login scenarios and ensure the correct error message is displayed.
        ","390","Negative Test: Non-existent Account","tests","Wed Apr 01 20:16:16 UTC 2026","passed","Wed Apr 01 20:16:17 UTC 2026","TestLogin","test_auth","",""
"
        Verify various negative login scenarios and ensure the correct error message is displayed.
        ","382","Negative Test: Wrong Password","tests","Wed Apr 01 20:16:14 UTC 2026","passed","Wed Apr 01 20:16:15 UTC 2026","TestLogin","test_auth","",""
"
        Verify that a user cannot navigate back to a protected page using the browser's
        back button after logging out.
        ","3713","Browser back button does not restore active session","tests","Wed Apr 01 20:16:40 UTC 2026","passed","Wed Apr 01 20:16:43 UTC 2026","TestLogout","test_auth","",""
