"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"
        Verify various negative login scenarios and ensure the correct error message is displayed.
        ","434","Negative Test: Locked Out User","tests","Wed Apr 01 20:03:05 UTC 2026","passed","Wed Apr 01 20:03:05 UTC 2026","TestLogin","test_auth","",""
"
        Verify that a logged-in user can successfully log out via the sidebar menu.
        ","650","User logs out successfully from the main page","tests","Wed Apr 01 20:03:19 UTC 2026","passed","Wed Apr 01 20:03:20 UTC 2026","TestLogout","test_auth","",""
"
        Verify that a standard user can log in with valid credentials
        and is redirected to the Inventory Page.
        ","461","Standard user logs in successfully","tests","Wed Apr 01 20:03:03 UTC 2026","passed","Wed Apr 01 20:03:04 UTC 2026","TestLogin","test_auth","",""
"
        Verify various negative login scenarios and ensure the correct error message is displayed.
        ","423","Negative Test: Non-existent Account","tests","Wed Apr 01 20:03:09 UTC 2026","passed","Wed Apr 01 20:03:09 UTC 2026","TestLogin","test_auth","",""
"
        Verify that an unauthenticated user cannot directly access the inventory page via URL.
        ","3711","Prevent direct access to inventory without authentication","tests","Wed Apr 01 20:03:12 UTC 2026","passed","Wed Apr 01 20:03:16 UTC 2026","TestLogin","test_auth","",""
"
        Verify that the authentication cookie is completely removed from the browser.
        ","647","Session cookie is cleared upon logout","tests","Wed Apr 01 20:03:21 UTC 2026","passed","Wed Apr 01 20:03:22 UTC 2026","TestLogout","test_auth","",""
"
        Verify various negative login scenarios and ensure the correct error message is displayed.
        ","420","Negative Test: Wrong Password","tests","Wed Apr 01 20:03:06 UTC 2026","passed","Wed Apr 01 20:03:06 UTC 2026","TestLogin","test_auth","",""
"
        Verify various negative login scenarios and ensure the correct error message is displayed.
        ","391","Negative Test: Empty Account","tests","Wed Apr 01 20:03:07 UTC 2026","passed","Wed Apr 01 20:03:08 UTC 2026","TestLogin","test_auth","",""
"
        Verify that login fails if the casing of the username or password is incorrect.
        ","434","Case Sensitivity Test: Swapped Username Case","tests","Wed Apr 01 20:03:10 UTC 2026","passed","Wed Apr 01 20:03:10 UTC 2026","TestLogin","test_auth","",""
"
        Verify that login fails if the casing of the username or password is incorrect.
        ","438","Case Sensitivity Test: Swapped Password Case","tests","Wed Apr 01 20:03:11 UTC 2026","passed","Wed Apr 01 20:03:12 UTC 2026","TestLogin","test_auth","",""
"
        Verify that a user cannot navigate back to a protected page using the browser's
        back button after logging out.
        ","3744","Browser back button does not restore active session","tests","Wed Apr 01 20:03:23 UTC 2026","passed","Wed Apr 01 20:03:27 UTC 2026","TestLogout","test_auth","",""
"
        Verify that once a user is logged in, opening a new tab and navigating
        to the app retains the logged-in state without requiring re-authentication.
        ","747","Session persists across multiple tabs","tests","Wed Apr 01 20:03:17 UTC 2026","passed","Wed Apr 01 20:03:18 UTC 2026","TestLogin","test_auth","",""
"
        Verify that logging out in one tab invalidates the session in all other open tabs.
        ","1100","Multi-tab session sync upon logout","tests","Wed Apr 01 20:03:28 UTC 2026","passed","Wed Apr 01 20:03:29 UTC 2026","TestLogout","test_auth","",""
