"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"
        Verify that once a user is logged in, opening a new tab and navigating
        to the app retains the logged-in state without requiring re-authentication.
        ","617","Session persists across multiple tabs","tests","Thu Apr 02 05:29:35 UTC 2026","passed","Thu Apr 02 05:29:36 UTC 2026","TestLogin","test_auth","",""
"Verify that clicking a product name or image opens its detail page.","113","Clicking an item image navigates to the Product Detail Page","tests","Thu Apr 02 05:30:07 UTC 2026","passed","Thu Apr 02 05:30:07 UTC 2026","TestInventoryInteractions","test_inventory","",""
"
        Verify various negative login scenarios and ensure the correct error message is displayed.
        ","308","Negative Test: Locked Out User","tests","Thu Apr 02 05:29:17 UTC 2026","passed","Thu Apr 02 05:29:17 UTC 2026","TestLogin","test_auth","",""
"Verify that the inventory items can be correctly sorted by price.","141","Verify items can be sorted by price (Low to High)","tests","Thu Apr 02 05:30:00 UTC 2026","passed","Thu Apr 02 05:30:01 UTC 2026","TestInventoryInteractions","test_inventory","",""
"Verify that adding a single item correctly updates the header cart badge to 1.","102","Adding an item updates the cart badge count","tests","Thu Apr 02 05:29:57 UTC 2026","passed","Thu Apr 02 05:29:57 UTC 2026","TestInventoryInteractions","test_inventory","",""
"
        Verify various negative login scenarios and ensure the correct error message is displayed.
        ","308","Negative Test: Wrong Password","tests","Thu Apr 02 05:29:18 UTC 2026","passed","Thu Apr 02 05:29:19 UTC 2026","TestLogin","test_auth","",""
"Verify that the inventory items can be correctly sorted by name.","117","Verify items can be sorted by name (Z to A)","tests","Thu Apr 02 05:30:04 UTC 2026","passed","Thu Apr 02 05:30:05 UTC 2026","TestInventoryInteractions","test_inventory","",""
"
        Verify that an unauthenticated user cannot directly access the inventory page via URL.
        ","10611","Prevent direct access to inventory without authentication","tests","Thu Apr 02 05:29:24 UTC 2026","passed","Thu Apr 02 05:29:35 UTC 2026","TestLogin","test_auth","",""
"
        Verify that a standard user can log in with valid credentials
        and is redirected to the Inventory Page.
        ","363","Standard user logs in successfully","tests","Thu Apr 02 05:29:16 UTC 2026","passed","Thu Apr 02 05:29:16 UTC 2026","TestLogin","test_auth","",""
"
        Verify various negative login scenarios and ensure the correct error message is displayed.
        ","317","Negative Test: Non-existent Account","tests","Thu Apr 02 05:29:21 UTC 2026","passed","Thu Apr 02 05:29:21 UTC 2026","TestLogin","test_auth","",""
"
        Verify that a user cannot navigate back to a protected page using the browser's
        back button after logging out.
        ","10767","Browser back button does not restore active session","tests","Thu Apr 02 05:29:42 UTC 2026","passed","Thu Apr 02 05:29:53 UTC 2026","TestLogout","test_auth","",""
"
        Verify that a logged-in user can successfully log out via the sidebar menu.
        ","676","User logs out successfully from the main page","tests","Thu Apr 02 05:29:39 UTC 2026","passed","Thu Apr 02 05:29:39 UTC 2026","TestLogout","test_auth","",""
"
        Verify that login fails if the casing of the username or password is incorrect.
        ","332","Case Sensitivity Test: Swapped Password Case","tests","Thu Apr 02 05:29:23 UTC 2026","passed","Thu Apr 02 05:29:23 UTC 2026","TestLogin","test_auth","",""
"Dynamically fetch all items on the page and verify their navigation.","1168","Dynamic Exhaustive Test: Verify all visible items can navigate to PDP","tests","Thu Apr 02 05:30:08 UTC 2026","passed","Thu Apr 02 05:30:10 UTC 2026","TestInventoryInteractions","test_inventory","",""
"
        Verify that the authentication cookie is completely removed from the browser.
        ","671","Session cookie is cleared upon logout","tests","Thu Apr 02 05:29:41 UTC 2026","passed","Thu Apr 02 05:29:41 UTC 2026","TestLogout","test_auth","",""
"Verify that the inventory items can be correctly sorted by name.","89","Verify items can be sorted by name (A to Z)","tests","Thu Apr 02 05:30:03 UTC 2026","passed","Thu Apr 02 05:30:03 UTC 2026","TestInventoryInteractions","test_inventory","",""
"Verify that no broken images are displayed on the inventory page.","79","Verify all product images load successfully without broken links","tests","Thu Apr 02 05:30:11 UTC 2026","passed","Thu Apr 02 05:30:11 UTC 2026","TestInventoryInteractions","test_inventory","",""
"
        Verify various negative login scenarios and ensure the correct error message is displayed.
        ","295","Negative Test: Empty Account","tests","Thu Apr 02 05:29:20 UTC 2026","passed","Thu Apr 02 05:29:20 UTC 2026","TestLogin","test_auth","",""
"
        Verify that logging out in one tab invalidates the session in all other open tabs.
        ","900","Multi-tab session sync upon logout","tests","Thu Apr 02 05:29:54 UTC 2026","passed","Thu Apr 02 05:29:55 UTC 2026","TestLogout","test_auth","",""
"Verify that clicking a product name or image opens its detail page.","112","Clicking an item name navigates to the Product Detail Page","tests","Thu Apr 02 05:30:06 UTC 2026","passed","Thu Apr 02 05:30:06 UTC 2026","TestInventoryInteractions","test_inventory","",""
"
        Simulate a session timeout by clearing browser cookies and verify the system
        denies access to protected pages.
        ","144","Verify redirection to login page after session expiration","tests","Thu Apr 02 05:29:37 UTC 2026","passed","Thu Apr 02 05:29:37 UTC 2026","TestLogin","test_auth","",""
"
        Verify that login fails if the casing of the username or password is incorrect.
        ","343","Case Sensitivity Test: Swapped Username Case","tests","Thu Apr 02 05:29:22 UTC 2026","passed","Thu Apr 02 05:29:22 UTC 2026","TestLogin","test_auth","",""
"Verify that removing an item correctly decrements/removes the header cart badge.","1195","Removing an item updates the cart badge count","tests","Thu Apr 02 05:29:58 UTC 2026","passed","Thu Apr 02 05:29:59 UTC 2026","TestInventoryInteractions","test_inventory","",""
"Verify that the inventory items can be correctly sorted by price.","116","Verify items can be sorted by price (High to Low)","tests","Thu Apr 02 05:30:02 UTC 2026","passed","Thu Apr 02 05:30:02 UTC 2026","TestInventoryInteractions","test_inventory","",""
