"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verify that the inventory items can be correctly sorted by price.","108","Verify items can be sorted by price (Low to High)","tests","Thu Apr 09 00:27:52 UTC 2026","passed","Thu Apr 09 00:27:52 UTC 2026","TestInventoryInteractions","test_inventory","",""
"
        Verify that a user cannot navigate back to a protected page using the browser's
        back button after logging out.
        ","723","Browser back button does not restore active session","tests","Thu Apr 09 00:27:45 UTC 2026","passed","Thu Apr 09 00:27:46 UTC 2026","TestLogout","test_auth","",""
"
        Verify various negative login scenarios and ensure the correct error message is displayed.
        ","310","Negative Test: Wrong Password","tests","Thu Apr 09 00:27:34 UTC 2026","passed","Thu Apr 09 00:27:34 UTC 2026","TestLogin","test_auth","",""
"
        Verify that once a user is logged in, opening a new tab and navigating
        to the app retains the logged-in state without requiring re-authentication.
        ","451","Session persists across multiple tabs","tests","Thu Apr 09 00:27:40 UTC 2026","passed","Thu Apr 09 00:27:40 UTC 2026","TestLogin","test_auth","",""
"
        Verify that logging out in one tab invalidates the session in all other open tabs.
        ","880","Multi-tab session sync upon logout","tests","Thu Apr 09 00:27:47 UTC 2026","passed","Thu Apr 09 00:27:48 UTC 2026","TestLogout","test_auth","",""
"Verify that the inventory items can be correctly sorted by name.","80","Verify items can be sorted by name (A to Z)","tests","Thu Apr 09 00:27:54 UTC 2026","passed","Thu Apr 09 00:27:55 UTC 2026","TestInventoryInteractions","test_inventory","",""
"
        Verify that the authentication cookie is completely removed from the browser.
        ","661","Session cookie is cleared upon logout","tests","Thu Apr 09 00:27:44 UTC 2026","passed","Thu Apr 09 00:27:44 UTC 2026","TestLogout","test_auth","",""
"Verify that the inventory items can be correctly sorted by price.","107","Verify items can be sorted by price (High to Low)","tests","Thu Apr 09 00:27:53 UTC 2026","passed","Thu Apr 09 00:27:53 UTC 2026","TestInventoryInteractions","test_inventory","",""
"Verify that the inventory items can be correctly sorted by name.","106","Verify items can be sorted by name (Z to A)","tests","Thu Apr 09 00:27:56 UTC 2026","passed","Thu Apr 09 00:27:56 UTC 2026","TestInventoryInteractions","test_inventory","",""
"
        Verify various negative login scenarios and ensure the correct error message is displayed.
        ","316","Negative Test: Locked Out User","tests","Thu Apr 09 00:27:33 UTC 2026","passed","Thu Apr 09 00:27:33 UTC 2026","TestLogin","test_auth","",""
"
        Verify that a standard user can log in with valid credentials
        and is redirected to the Inventory Page.
        ","348","Standard user logs in successfully","tests","Thu Apr 09 00:27:32 UTC 2026","passed","Thu Apr 09 00:27:32 UTC 2026","TestLogin","test_auth","",""
"Verify that clicking a product name or image opens its detail page.","102","Clicking an item name navigates to the Product Detail Page","tests","Thu Apr 09 00:27:57 UTC 2026","passed","Thu Apr 09 00:27:57 UTC 2026","TestInventoryInteractions","test_inventory","",""
"Verify that clicking a product name or image opens its detail page.","99","Clicking an item image navigates to the Product Detail Page","tests","Thu Apr 09 00:27:58 UTC 2026","passed","Thu Apr 09 00:27:58 UTC 2026","TestInventoryInteractions","test_inventory","",""
"
        Verify various negative login scenarios and ensure the correct error message is displayed.
        ","320","Negative Test: Non-existent Account","tests","Thu Apr 09 00:27:36 UTC 2026","passed","Thu Apr 09 00:27:36 UTC 2026","TestLogin","test_auth","",""
"Verify that no broken images are displayed on the inventory page.","73","Verify all product images load successfully without broken links","tests","Thu Apr 09 00:28:01 UTC 2026","passed","Thu Apr 09 00:28:01 UTC 2026","TestInventoryInteractions","test_inventory","",""
"
        Verify various negative login scenarios and ensure the correct error message is displayed.
        ","295","Negative Test: Empty Account","tests","Thu Apr 09 00:27:35 UTC 2026","passed","Thu Apr 09 00:27:35 UTC 2026","TestLogin","test_auth","",""
"
        Verify that an unauthenticated user cannot directly access the inventory page via URL.
        ","311","Prevent direct access to inventory without authentication","tests","Thu Apr 09 00:27:39 UTC 2026","passed","Thu Apr 09 00:27:39 UTC 2026","TestLogin","test_auth","",""
"
        Verify that a logged-in user can successfully log out via the sidebar menu.
        ","665","User logs out successfully from the main page","tests","Thu Apr 09 00:27:42 UTC 2026","passed","Thu Apr 09 00:27:43 UTC 2026","TestLogout","test_auth","",""
"
        Simulate a session timeout by clearing browser cookies and verify the system
        denies access to protected pages.
        ","126","Verify redirection to login page after session expiration","tests","Thu Apr 09 00:27:41 UTC 2026","passed","Thu Apr 09 00:27:41 UTC 2026","TestLogin","test_auth","",""
"Dynamically fetch all items on the page and verify their navigation.","1071","Dynamic Exhaustive Test: Verify all visible items can navigate to PDP","tests","Thu Apr 09 00:27:59 UTC 2026","passed","Thu Apr 09 00:28:00 UTC 2026","TestInventoryInteractions","test_inventory","",""
"Verify that adding a single item correctly updates the header cart badge to 1.","98","Adding an item updates the cart badge count","tests","Thu Apr 09 00:27:49 UTC 2026","passed","Thu Apr 09 00:27:49 UTC 2026","TestInventoryInteractions","test_inventory","",""
"
        Verify that login fails if the casing of the username or password is incorrect.
        ","318","Case Sensitivity Test: Swapped Password Case","tests","Thu Apr 09 00:27:38 UTC 2026","passed","Thu Apr 09 00:27:38 UTC 2026","TestLogin","test_auth","",""
"
        Verify that login fails if the casing of the username or password is incorrect.
        ","319","Case Sensitivity Test: Swapped Username Case","tests","Thu Apr 09 00:27:37 UTC 2026","passed","Thu Apr 09 00:27:37 UTC 2026","TestLogin","test_auth","",""
"Verify that removing an item correctly decrements/removes the header cart badge.","1178","Removing an item updates the cart badge count","tests","Thu Apr 09 00:27:50 UTC 2026","passed","Thu Apr 09 00:27:51 UTC 2026","TestInventoryInteractions","test_inventory","",""
