"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verify that the inventory items can be correctly sorted by price.","110","Verify items can be sorted by price (Low to High)","tests","Fri Apr 03 05:16:30 UTC 2026","passed","Fri Apr 03 05:16:31 UTC 2026","TestInventoryInteractions","test_inventory","",""
"
        Verify that a logged-in user can successfully log out via the sidebar menu.
        ","673","User logs out successfully from the main page","tests","Fri Apr 03 05:16:10 UTC 2026","passed","Fri Apr 03 05:16:11 UTC 2026","TestLogout","test_auth","",""
"
        Verify that login fails if the casing of the username or password is incorrect.
        ","325","Case Sensitivity Test: Swapped Password Case","tests","Fri Apr 03 05:15:56 UTC 2026","passed","Fri Apr 03 05:15:56 UTC 2026","TestLogin","test_auth","",""
"
        Verify various negative login scenarios and ensure the correct error message is displayed.
        ","309","Negative Test: Wrong Password","tests","Fri Apr 03 05:15:52 UTC 2026","passed","Fri Apr 03 05:15:52 UTC 2026","TestLogin","test_auth","",""
"
        Verify that once a user is logged in, opening a new tab and navigating
        to the app retains the logged-in state without requiring re-authentication.
        ","421","Session persists across multiple tabs","tests","Fri Apr 03 05:16:07 UTC 2026","passed","Fri Apr 03 05:16:08 UTC 2026","TestLogin","test_auth","",""
"Verify that the inventory items can be correctly sorted by name.","110","Verify items can be sorted by name (Z to A)","tests","Fri Apr 03 05:16:34 UTC 2026","passed","Fri Apr 03 05:16:34 UTC 2026","TestInventoryInteractions","test_inventory","",""
"Verify that removing an item correctly decrements/removes the header cart badge.","1188","Removing an item updates the cart badge count","tests","Fri Apr 03 05:16:28 UTC 2026","passed","Fri Apr 03 05:16:29 UTC 2026","TestInventoryInteractions","test_inventory","",""
"
        Verify various negative login scenarios and ensure the correct error message is displayed.
        ","285","Negative Test: Empty Account","tests","Fri Apr 03 05:15:53 UTC 2026","passed","Fri Apr 03 05:15:53 UTC 2026","TestLogin","test_auth","",""
"
        Verify that an unauthenticated user cannot directly access the inventory page via URL.
        ","10474","Prevent direct access to inventory without authentication","tests","Fri Apr 03 05:15:56 UTC 2026","passed","Fri Apr 03 05:16:07 UTC 2026","TestLogin","test_auth","",""
"
        Verify various negative login scenarios and ensure the correct error message is displayed.
        ","317","Negative Test: Locked Out User","tests","Fri Apr 03 05:15:51 UTC 2026","passed","Fri Apr 03 05:15:51 UTC 2026","TestLogin","test_auth","",""
"
        Verify that login fails if the casing of the username or password is incorrect.
        ","321","Case Sensitivity Test: Swapped Username Case","tests","Fri Apr 03 05:15:55 UTC 2026","passed","Fri Apr 03 05:15:55 UTC 2026","TestLogin","test_auth","",""
"Dynamically fetch all items on the page and verify their navigation.","1125","Dynamic Exhaustive Test: Verify all visible items can navigate to PDP","tests","Fri Apr 03 05:16:37 UTC 2026","passed","Fri Apr 03 05:16:38 UTC 2026","TestInventoryInteractions","test_inventory","",""
"
        Verify various negative login scenarios and ensure the correct error message is displayed.
        ","311","Negative Test: Non-existent Account","tests","Fri Apr 03 05:15:54 UTC 2026","passed","Fri Apr 03 05:15:54 UTC 2026","TestLogin","test_auth","",""
"Verify that adding a single item correctly updates the header cart badge to 1.","101","Adding an item updates the cart badge count","tests","Fri Apr 03 05:16:27 UTC 2026","passed","Fri Apr 03 05:16:27 UTC 2026","TestInventoryInteractions","test_inventory","",""
"Verify that the inventory items can be correctly sorted by price.","110","Verify items can be sorted by price (High to Low)","tests","Fri Apr 03 05:16:32 UTC 2026","passed","Fri Apr 03 05:16:32 UTC 2026","TestInventoryInteractions","test_inventory","",""
"Verify that the inventory items can be correctly sorted by name.","82","Verify items can be sorted by name (A to Z)","tests","Fri Apr 03 05:16:33 UTC 2026","passed","Fri Apr 03 05:16:33 UTC 2026","TestInventoryInteractions","test_inventory","",""
"
        Verify that the authentication cookie is completely removed from the browser.
        ","666","Session cookie is cleared upon logout","tests","Fri Apr 03 05:16:12 UTC 2026","passed","Fri Apr 03 05:16:12 UTC 2026","TestLogout","test_auth","",""
"Verify that clicking a product name or image opens its detail page.","104","Clicking an item image navigates to the Product Detail Page","tests","Fri Apr 03 05:16:36 UTC 2026","passed","Fri Apr 03 05:16:36 UTC 2026","TestInventoryInteractions","test_inventory","",""
"
        Verify that logging out in one tab invalidates the session in all other open tabs.
        ","880","Multi-tab session sync upon logout","tests","Fri Apr 03 05:16:25 UTC 2026","passed","Fri Apr 03 05:16:26 UTC 2026","TestLogout","test_auth","",""
"Verify that no broken images are displayed on the inventory page.","74","Verify all product images load successfully without broken links","tests","Fri Apr 03 05:16:39 UTC 2026","passed","Fri Apr 03 05:16:39 UTC 2026","TestInventoryInteractions","test_inventory","",""
"
        Simulate a session timeout by clearing browser cookies and verify the system
        denies access to protected pages.
        ","132","Verify redirection to login page after session expiration","tests","Fri Apr 03 05:16:09 UTC 2026","passed","Fri Apr 03 05:16:09 UTC 2026","TestLogin","test_auth","",""
"Verify that clicking a product name or image opens its detail page.","104","Clicking an item name navigates to the Product Detail Page","tests","Fri Apr 03 05:16:35 UTC 2026","passed","Fri Apr 03 05:16:35 UTC 2026","TestInventoryInteractions","test_inventory","",""
"
        Verify that a standard user can log in with valid credentials
        and is redirected to the Inventory Page.
        ","350","Standard user logs in successfully","tests","Fri Apr 03 05:15:50 UTC 2026","passed","Fri Apr 03 05:15:50 UTC 2026","TestLogin","test_auth","",""
