"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"
        Verify that a user cannot navigate back to a protected page using the browser's
        back button after logging out.
        ","10771","Browser back button does not restore active session","tests","Thu Apr 02 06:09:43 UTC 2026","passed","Thu Apr 02 06:09:53 UTC 2026","TestLogout","test_auth","",""
"Verify that the inventory items can be correctly sorted by price.","125","Verify items can be sorted by price (High to Low)","tests","Thu Apr 02 06:10:01 UTC 2026","passed","Thu Apr 02 06:10:01 UTC 2026","TestInventoryInteractions","test_inventory","",""
"Verify that clicking a product name or image opens its detail page.","118","Clicking an item name navigates to the Product Detail Page","tests","Thu Apr 02 06:10:05 UTC 2026","passed","Thu Apr 02 06:10:05 UTC 2026","TestInventoryInteractions","test_inventory","",""
"
        Verify various negative login scenarios and ensure the correct error message is displayed.
        ","321","Negative Test: Non-existent Account","tests","Thu Apr 02 06:09:23 UTC 2026","passed","Thu Apr 02 06:09:23 UTC 2026","TestLogin","test_auth","",""
"Dynamically fetch all items on the page and verify their navigation.","1117","Dynamic Exhaustive Test: Verify all visible items can navigate to PDP","tests","Thu Apr 02 06:10:07 UTC 2026","passed","Thu Apr 02 06:10:08 UTC 2026","TestInventoryInteractions","test_inventory","",""
"
        Verify various negative login scenarios and ensure the correct error message is displayed.
        ","318","Negative Test: Locked Out User","tests","Thu Apr 02 06:09:20 UTC 2026","passed","Thu Apr 02 06:09:20 UTC 2026","TestLogin","test_auth","",""
"Verify that no broken images are displayed on the inventory page.","79","Verify all product images load successfully without broken links","tests","Thu Apr 02 06:10:09 UTC 2026","passed","Thu Apr 02 06:10:09 UTC 2026","TestInventoryInteractions","test_inventory","",""
"
        Verify that the authentication cookie is completely removed from the browser.
        ","668","Session cookie is cleared upon logout","tests","Thu Apr 02 06:09:41 UTC 2026","passed","Thu Apr 02 06:09:42 UTC 2026","TestLogout","test_auth","",""
"Verify that the inventory items can be correctly sorted by name.","97","Verify items can be sorted by name (A to Z)","tests","Thu Apr 02 06:10:02 UTC 2026","passed","Thu Apr 02 06:10:02 UTC 2026","TestInventoryInteractions","test_inventory","",""
"
        Verify that login fails if the casing of the username or password is incorrect.
        ","324","Case Sensitivity Test: Swapped Username Case","tests","Thu Apr 02 06:09:24 UTC 2026","passed","Thu Apr 02 06:09:24 UTC 2026","TestLogin","test_auth","",""
"Verify that adding a single item correctly updates the header cart badge to 1.","102","Adding an item updates the cart badge count","tests","Thu Apr 02 06:09:56 UTC 2026","passed","Thu Apr 02 06:09:56 UTC 2026","TestInventoryInteractions","test_inventory","",""
"
        Verify that login fails if the casing of the username or password is incorrect.
        ","343","Case Sensitivity Test: Swapped Password Case","tests","Thu Apr 02 06:09:25 UTC 2026","passed","Thu Apr 02 06:09:25 UTC 2026","TestLogin","test_auth","",""
"
        Verify various negative login scenarios and ensure the correct error message is displayed.
        ","294","Negative Test: Empty Account","tests","Thu Apr 02 06:09:22 UTC 2026","passed","Thu Apr 02 06:09:22 UTC 2026","TestLogin","test_auth","",""
"
        Verify that a logged-in user can successfully log out via the sidebar menu.
        ","682","User logs out successfully from the main page","tests","Thu Apr 02 06:09:39 UTC 2026","passed","Thu Apr 02 06:09:40 UTC 2026","TestLogout","test_auth","",""
