"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verify that the inventory items can be correctly sorted by name.","80","Verify items can be sorted by name (A to Z)","tests","Wed Apr 08 03:12:18 UTC 2026","passed","Wed Apr 08 03:12:18 UTC 2026","TestInventoryInteractions","test_inventory","",""
"
        Verify that an unauthenticated user cannot directly access the inventory page via URL.
        ","300","Prevent direct access to inventory without authentication","tests","Wed Apr 08 03:12:00 UTC 2026","passed","Wed Apr 08 03:12:00 UTC 2026","TestLogin","test_auth","",""
"
        Verify various negative login scenarios and ensure the correct error message is displayed.
        ","299","Negative Test: Empty Account","tests","Wed Apr 08 03:11:56 UTC 2026","passed","Wed Apr 08 03:11:57 UTC 2026","TestLogin","test_auth","",""
"
        Verify that logging out in one tab invalidates the session in all other open tabs.
        ","891","Multi-tab session sync upon logout","tests","Wed Apr 08 03:12:10 UTC 2026","passed","Wed Apr 08 03:12:11 UTC 2026","TestLogout","test_auth","",""
"Verify that the inventory items can be correctly sorted by price.","109","Verify items can be sorted by price (High to Low)","tests","Wed Apr 08 03:12:16 UTC 2026","passed","Wed Apr 08 03:12:17 UTC 2026","TestInventoryInteractions","test_inventory","",""
"
        Verify that a standard user can log in with valid credentials
        and is redirected to the Inventory Page.
        ","334","Standard user logs in successfully","tests","Wed Apr 08 03:11:53 UTC 2026","passed","Wed Apr 08 03:11:54 UTC 2026","TestLogin","test_auth","",""
"
        Verify various negative login scenarios and ensure the correct error message is displayed.
        ","316","Negative Test: Locked Out User","tests","Wed Apr 08 03:11:54 UTC 2026","passed","Wed Apr 08 03:11:55 UTC 2026","TestLogin","test_auth","",""
"
        Verify that a logged-in user can successfully log out via the sidebar menu.
        ","669","User logs out successfully from the main page","tests","Wed Apr 08 03:12:05 UTC 2026","passed","Wed Apr 08 03:12:06 UTC 2026","TestLogout","test_auth","",""
"Verify that adding a single item correctly updates the header cart badge to 1.","95","Adding an item updates the cart badge count","tests","Wed Apr 08 03:12:12 UTC 2026","passed","Wed Apr 08 03:12:12 UTC 2026","TestInventoryInteractions","test_inventory","",""
"Verify that the inventory items can be correctly sorted by price.","107","Verify items can be sorted by price (Low to High)","tests","Wed Apr 08 03:12:15 UTC 2026","passed","Wed Apr 08 03:12:16 UTC 2026","TestInventoryInteractions","test_inventory","",""
"
        Verify that login fails if the casing of the username or password is incorrect.
        ","323","Case Sensitivity Test: Swapped Password Case","tests","Wed Apr 08 03:11:59 UTC 2026","passed","Wed Apr 08 03:12:00 UTC 2026","TestLogin","test_auth","",""
"Verify that the inventory items can be correctly sorted by name.","107","Verify items can be sorted by name (Z to A)","tests","Wed Apr 08 03:12:19 UTC 2026","passed","Wed Apr 08 03:12:19 UTC 2026","TestInventoryInteractions","test_inventory","",""
"Verify that no broken images are displayed on the inventory page.","75","Verify all product images load successfully without broken links","tests","Wed Apr 08 03:12:25 UTC 2026","passed","Wed Apr 08 03:12:25 UTC 2026","TestInventoryInteractions","test_inventory","",""
